dataset,query_size,query_mode,query_index,elapsed_execution_time,filter_time,plan_time,enumerate_time,n_embeddings,order,max_task_time,n_intersections
human,8,dense,8,271.126,0.00112592,0.00461624,8528.8,23513204524,0 3 4 1 2 5 6 7 ,123.32,2005854140.0
human,16,dense,46,0.0014217,0.00134142,0.00805154,0.0037501,0,3 1 4 6 7 8 9 10 5 11 12 13 14 15 0 2 ,0.00112504,2168.0
human,16,sparse,68,0.718615,0.00158575,0.0166456,2.93568,2119982175,5 9 6 11 7 4 12 8 14 13 15 10 2 0 1 3 ,0.269945,263840.0
human,8,dense,89,569.006,0.000815612,0.0103032,569.006,97218668988,7 3 4 5 2 0 1 6 ,569.006,80163.0
human,8,dense,19,94.971,0.00105243,0.0034343,2365.85,163255197941,3 0 1 2 4 5 6 7 ,78.2314,661058.0
human,8,sparse,36,
human,16,sparse,9,0.399264,0.0013,0.0168727,2.29179,1421936640,3 4 1 2 12 0 5 9 8 11 10 7 13 6 14 15 ,0.217971,1038102.0
human,8,dense,67,0.00850066,0.00131112,0.00155184,0.00836088,55262400,3 4 5 1 2 0 6 7 ,0.00836088,3301.0
human,8,dense,87,2.03821,0.00194451,0.00181134,2.038,344150688,2 0 1 4 5 6 3 7 ,2.038,1687.0
human,8,sparse,22,5.64147,0.00101477,0.0196971,132.846,4079633785949,5 6 3 4 7 2 1 0 ,3.20492,33470644.0
human,8,dense,97,106.746,0.00164908,0.0111839,2065.95,3873225567,4 0 1 2 3 5 6 7 ,98.4093,617336577.0
human,12,dense,1,0.012502,0.000967513,0.00331126,0.0123811,4151727,1 0 4 3 8 6 7 5 2 9 10 11 ,0.0123811,13417.0
human,8,sparse,79,
human,8,dense,7,0.00120874,0.000887532,0.00182999,0.0010557,68531400,2 5 6 4 0 1 3 7 ,0.0010557,508.0
human,8,dense,43,0.820636,0.000949371,0.00412894,18.2518,7688049363,1 2 0 3 4 7 5 6 ,0.337201,4384334.0
human,8,sparse,57,
human,8,sparse,12,0.148931,0.00105335,0.00187794,0.148778,29404653576,2 1 4 3 6 0 5 7 ,0.148778,44364.0
human,8,sparse,62,
human,8,dense,23,0.96846,0.000782648,0.00218942,0.968326,164388000,3 5 7 0 4 6 1 2 ,0.968326,55460.0
human,8,dense,90,6.43353,0.00055582,0.00227767,140.329,4898475720,1 5 0 2 3 4 6 7 ,1.9905,73569153.0
human,8,dense,29,1.43969,0.000870127,0.00364177,7.37915,220264654170,0 1 2 3 4 5 6 7 ,0.32399,2110193.0
human,8,dense,76,1.92727,0.000916473,0.00176523,1.92706,344150688,2 0 1 4 5 6 3 7 ,1.92706,1687.0
human,8,dense,99,7.82572,0.00103312,0.00706697,170.295,14702411076,1 2 6 0 3 4 5 7 ,3.27316,52123395.0
human,8,sparse,84,
human,8,sparse,19,
human,16,sparse,82,0.0039407,0.00138867,0.00631194,0.00381395,5444928,10 3 4 11 12 7 13 2 8 0 5 14 15 6 9 1 ,0.00381395,3468.0
human,8,dense,70,77.6717,0.00126454,0.00572422,1954.58,339501388690,0 2 1 6 3 4 5 7 ,30.1559,388775507.0
