dataset,query_size,query_mode,query_index,elapsed_execution_time,filter_time,plan_time,enumerate_time,n_embeddings,order,max_task_time,n_intersections
youtube2007,12,dense,90,1.73663,0.00191065,0.00177845,1.73643,8299904,4 7 9 3 11 5 6 10 2 1 8 0 ,1.73643,2875284.0
youtube2007,16,dense,63,
human,8,dense,75,1138.88,0.00010931,0.00118715,1138.88,65207291760,2 0 1 3 4 5 6 7 ,1138.88,702294947.0
youtube2007,8,sparse,34,10.1491,0.000537032,0.00106779,10.1489,9046410,0 1 2 6 7 5 3 4 ,10.1489,26497033.0
human,8,dense,27,221.822,0.000453479,0.00112193,221.822,6631496976,0 1 2 3 4 6 5 7 ,221.822,168593907.0
youtube2007,16,sparse,76,0.193906,0.000686344,0.00465068,0.193751,3800,4 5 6 8 7 11 9 10 15 13 12 14 3 0 1 2 ,0.193751,214398.0
human,8,sparse,82,1.74486,0.000422587,0.000788077,1.74472,778979802850,2 6 4 5 1 3 0 7 ,1.74472,801326.0
youtube2007,12,sparse,82,154.606,0.0031047,0.00174171,154.606,22165352608,6 7 4 9 3 8 10 0 5 11 1 2 ,154.606,174710844.0
youtube2007,12,sparse,70,314.425,0.00320571,0.00188916,314.425,29587570769,5 3 2 6 4 1 11 10 7 8 9 0 ,314.425,205365805.0
human,8,sparse,100,0.291737,8.1736e-05,0.000924756,0.291624,64575102320,0 3 4 5 6 7 1 2 ,0.291624,147144.0
youtube2007,8,sparse,49,2.8703,0.00462682,0.00102682,2.87014,72169044,7 2 4 0 5 6 1 3 ,2.87014,4118759.0
human,8,sparse,26,93.1167,0.000385027,0.000969558,93.1166,44730576260,3 5 1 6 4 2 7 0 ,93.1166,64934010.0
youtube2007,8,sparse,46,81.5414,0.00702933,0.00105701,81.5413,289232483128,5 4 7 3 6 0 1 2 ,81.5413,70218663.0
human,8,sparse,32,820.881,0.000300146,0.00107098,820.881,10168236660597,2 5 1 6 3 0 4 7 ,820.881,342991086.0
human,12,sparse,22,0.0484118,0.000198238,0.00154328,0.0482721,1574769660,3 5 2 0 6 8 1 7 9 10 4 11 ,0.0482721,13523.0
human,8,sparse,24,136.091,0.000438634,0.00101178,136.091,6983275160382,7 0 2 1 4 3 6 5 ,136.091,52401331.0
human,8,sparse,51,1.41832,0.000247002,0.00080872,1.41819,11773023074,1 2 4 3 7 0 6 5 ,1.41819,763338.0
youtube2007,8,dense,62,1.84233,0.00207613,0.000918355,1.84216,28048280,2 4 3 5 6 1 7 0 ,1.84216,2209688.0
youtube2007,8,sparse,82,30.311,0.00201222,0.00106963,30.3109,687402169968,1 2 0 3 4 5 6 7 ,30.3109,24749976.0
youtube2007,8,dense,87,10.5919,0.000945424,0.00100209,10.5918,1136773470,4 2 3 6 7 1 5 0 ,10.5918,5704359.0
human,12,sparse,17,4.36166,0.000277207,0.00185996,4.36149,632216670544,1 6 7 2 4 10 3 5 0 8 9 11 ,4.36149,3187880.0
human,8,dense,87,216.877,0.00047144,0.000947097,216.877,49557699072,0 1 2 3 7 6 4 5 ,216.877,270696.0
youtube2007,12,sparse,62,58.2356,0.00228865,0.00193787,58.2354,380942676450,4 7 2 6 5 0 3 1 8 9 10 11 ,58.2354,69427869.0
youtube2007,16,dense,79,14.8867,0.000997267,0.00352442,14.8866,88,8 7 9 11 4 6 3 0 12 5 1 2 10 14 15 13 ,14.8866,17930774.0
youtube2007,16,dense,6,
youtube2007,8,sparse,31,148.018,0.00700351,0.00139148,148.018,46877168000,1 2 5 6 0 7 3 4 ,148.018,150205182.0
youtube2007,12,dense,22,0.106931,0.00140609,0.00177741,0.106775,90,9 10 4 5 6 7 8 1 0 3 11 2 ,0.106775,245474.0
human,12,sparse,50,0.0446273,0.000122769,0.00198609,0.0444729,129595584,2 3 6 1 4 8 0 7 5 9 11 10 ,0.0444729,29910.0
human,8,dense,39,0.878309,7.6816e-05,0.000922214,0.878238,3489423876,3 0 1 4 5 2 6 7 ,0.878238,475926.0
youtube2007,12,dense,66,0.169923,0.00189327,0.00245187,0.169737,1030477,1 2 0 4 3 8 9 6 7 5 10 11 ,0.169737,379324.0
human,12,sparse,61,10.4958,0.000675211,0.00197355,10.4957,479189458944000,4 8 3 1 11 0 10 2 7 6 5 9 ,10.4957,4202965.0
human,12,sparse,78,1074.97,0.00031308,0.00183135,1074.97,25783579391860628,0 10 9 4 3 6 1 8 5 2 11 7 ,1074.97,384716806.0
human,8,sparse,11,18.4054,0.000225391,0.000884203,18.4053,373472838376,1 3 7 6 5 0 4 2 ,18.4053,8108640.0
youtube2007,8,sparse,39,0.254562,0.00131309,0.000824813,0.254371,3037,0 1 2 6 7 4 5 3 ,0.254371,328552.0
human,8,sparse,71,3.67581,0.000429179,0.000928648,3.67569,3266813584887,0 1 5 2 3 7 6 4 ,3.67569,1549832.0
youtube2007,16,dense,34,185.968,0.00725365,0.00370534,185.967,125132004,5 9 7 8 10 12 11 0 2 3 4 6 15 13 1 14 ,185.967,276807277.0
youtube2007,16,sparse,23,0.523326,0.00410747,0.00346889,0.523141,9272,5 0 9 1 8 2 4 3 6 7 13 12 15 10 11 14 ,0.523141,577339.0
human,16,sparse,46,0.454414,0.000168199,0.00374926,0.454248,2160126720,3 5 8 1 4 9 10 15 12 0 13 7 6 14 2 11 ,0.454248,35725.0
human,8,dense,74,9.87557,0.000196913,0.00116553,9.87541,394654848,1 0 2 3 4 5 6 7 ,9.87541,6395695.0
youtube2007,8,dense,63,11.6246,0.00254435,0.000935862,11.6244,152441966,0 1 4 2 5 3 6 7 ,11.6244,11837658.0
human,12,dense,19,
youtube2007,8,dense,94,12.442,0.00264951,0.00107207,12.4418,128830004,3 4 0 5 2 6 7 1 ,12.4418,12820994.0
human,8,sparse,27,0.512371,0.000117432,0.00091033,0.512302,9837354482,0 2 4 5 1 3 6 7 ,0.512302,189419.0
youtube2007,16,dense,83,1.12316,0.00100992,0.00346916,1.12302,58742415,5 7 2 11 12 8 13 9 15 10 14 6 0 1 4 3 ,1.12302,1123328.0
youtube2007,8,dense,52,0.0932357,0.00158741,0.001024,0.0930569,1759,0 1 7 4 2 3 5 6 ,0.0930569,234699.0
human,8,dense,28,753.509,0.000551764,0.00103422,753.509,169631393760,0 1 2 3 4 5 6 7 ,753.509,3852841.0
youtube2007,12,dense,7,
human,12,dense,94,660.751,0.000181287,0.00215696,660.75,33295204800,1 5 6 7 8 9 4 10 0 2 3 11 ,660.75,960578086.0
youtube2007,8,sparse,86,410.858,0.00126976,0.000847709,410.858,17583213736,7 5 0 1 6 3 4 2 ,410.858,359261322.0
human,8,sparse,34,5.3679,0.000471498,0.000996191,5.36778,22142048608,0 3 5 2 4 7 1 6 ,5.36778,3415297.0
human,16,dense,68,7.51602,0.00105241,0.00435672,7.51585,70156800,7 8 5 6 4 12 13 14 15 9 10 2 0 11 1 3 ,7.51585,9394112.0
human,12,dense,7,569.534,0.000506862,0.00246296,569.533,294509550585600,4 0 1 2 3 5 6 10 7 8 11 9 ,569.533,263069955.0
youtube2007,16,dense,2,
human,12,sparse,83,384.392,0.000277526,0.0022217,384.392,268209330120288,0 4 5 2 1 3 6 9 10 8 11 7 ,384.392,247660413.0
human,8,dense,72,0.040219,0.000107002,0.00101621,0.0401637,337920,2 3 4 5 6 7 1 0 ,0.0401637,60951.0
